day,persistence,seasonal_naive,sarimax,lstm,tcn
Mon 16,81.99,327.26,68.29,87.47,83.7
Tue 17,99.14,185.03,82.84,127.49,159.99
Wed 18,91.21,223.43,84.86,103.08,104.89
Thu 19,86.69,384.59,65.41,104.32,98.41
Fri 20,82.78,239.06,65.87,93.9,102.25
Sat 21,104.15,380.54,85.53,129.23,127.32
Sun 22,103.65,365.35,92.56,147.85,121.88
