day,persistence,seasonal_naive,sarimax,lstm,tcn
Mon 16,86.3,121.88,67.21,76.62,65.33
Tue 17,101.99,174.76,83.01,93.08,91.47
Wed 18,74.05,159.57,56.52,91.89,75.43
Thu 19,69.77,441.65,56.51,136.29,100.28
Fri 20,90.66,270.54,72.24,117.13,100.55
Sat 21,76.48,326.37,64.25,110.92,102.25
Sun 22,71.37,324.89,59.11,110.18,103.14
